date,universe,eval_year,period,persist_score,persist_pct,liq_score,liq_pct,combined_pct,target_top2_alpha_vs_ew8_20,PERSIST_CONT_lambda,PERSIST_CONT_gross,PERSIST_CONT_w_MOM1M,PERSIST_CONT_w_MOM12_1,PERSIST_CONT_w_OP12_REV,PERSIST_CONT_w_OPFY1_REV,PERSIST_CONT_w_PBR12MF,PERSIST_CONT_w_PER12MF,PERSIST_CONT_w_PRIVATE_FLOW,PERSIST_CONT_w_FOREIGN_FLOW,LIQ_CONT_lambda,LIQ_CONT_gross,LIQ_CONT_w_MOM1M,LIQ_CONT_w_MOM12_1,LIQ_CONT_w_OP12_REV,LIQ_CONT_w_OPFY1_REV,LIQ_CONT_w_PBR12MF,LIQ_CONT_w_PER12MF,LIQ_CONT_w_PRIVATE_FLOW,LIQ_CONT_w_FOREIGN_FLOW,COMBINED_CONT_lambda,COMBINED_CONT_gross,COMBINED_CONT_w_MOM1M,COMBINED_CONT_w_MOM12_1,COMBINED_CONT_w_OP12_REV,COMBINED_CONT_w_OPFY1_REV,COMBINED_CONT_w_PBR12MF,COMBINED_CONT_w_PER12MF,COMBINED_CONT_w_PRIVATE_FLOW,COMBINED_CONT_w_FOREIGN_FLOW,EW8_lambda,EW8_gross,EW8_w_MOM1M,EW8_w_MOM12_1,EW8_w_OP12_REV,EW8_w_OPFY1_REV,EW8_w_PBR12MF,EW8_w_PER12MF,EW8_w_PRIVATE_FLOW,EW8_w_FOREIGN_FLOW,TOP2_lambda,TOP2_gross,TOP2_w_MOM1M,TOP2_w_MOM12_1,TOP2_w_OP12_REV,TOP2_w_OPFY1_REV,TOP2_w_PBR12MF,TOP2_w_PER12MF,TOP2_w_PRIVATE_FLOW,TOP2_w_FOREIGN_FLOW
2020-01-03,K200,2020,DEV_2020_2022,0.1572162729499817,0.6358695652173914,-0.20395017308263289,0.32065217391304346,0.46195652173913043,0.0455705256108722,0.06793478260869568,0.022014837059623454,0.11650815217391304,0.15047554347826086,0.15047554347826086,0.11650815217391304,0.11650815217391304,0.11650815217391304,0.11650815217391304,0.11650815217391304,-0.08967391304347827,0.014832525957909896,0.13620923913043478,0.09137228260869565,0.09137228260869565,0.13620923913043478,0.13620923913043478,0.13620923913043478,0.13620923913043478,0.13620923913043478,-0.019021739130434784,0.01805218265867804,0.12737771739130435,0.11786684782608696,0.11786684782608696,0.12737771739130435,0.12737771739130435,0.12737771739130435,0.12737771739130435,0.12737771739130435,0.0,0.018919013308884847,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0,0.06448953891975705,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2020-02-04,K200,2020,DEV_2020_2022,-0.40717490268446077,0.15217391304347827,0.04502836323993872,0.5434782608695652,0.1956521739130435,-0.008943948260175864,-0.17391304347826086,-0.013707499533304055,0.1467391304347826,0.059782608695652176,0.1467391304347826,0.059782608695652176,0.1467391304347826,0.1467391304347826,0.1467391304347826,0.1467391304347826,0.021739130434782594,-0.015457402453773248,0.12228260869565218,0.13315217391304346,0.12228260869565218,0.13315217391304346,0.12228260869565218,0.12228260869565218,0.12228260869565218,0.12228260869565218,-0.15217391304347827,-0.013901933191133966,0.14402173913043478,0.06793478260869565,0.14402173913043478,0.06793478260869565,0.14402173913043478,0.14402173913043478,0.14402173913043478,0.14402173913043478,0.0,-0.015262968795943337,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0,-0.0242069170561192,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
2020-03-03,K200,2020,DEV_2020_2022,0.5380164029663516,0.9021739130434783,-0.12566529689573733,0.42391304347826086,0.779891304347826,0.04433914014571956,0.20108695652173914,-0.0035098954328288065,0.20040760869565216,0.09986413043478261,0.09986413043478261,0.09986413043478261,0.09986413043478261,0.09986413043478261,0.20040760869565216,0.09986413043478261,-0.03804347826086957,-0.014112733293761745,0.11073369565217392,0.1297554347826087,0.1297554347826087,0.1297554347826087,0.1297554347826087,0.1297554347826087,0.11073369565217392,0.1297554347826087,0.13994565217391303,-0.006220848294999158,0.17747961956521738,0.10750679347826086,0.10750679347826086,0.10750679347826086,0.10750679347826086,0.10750679347826086,0.17747961956521738,0.10750679347826086,0.0,-0.012425918179522412,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0,0.03191322196619715,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2020-03-31,K200,2020,DEV_2020_2022,-0.20486837175693398,0.266304347826087,-0.5873198312077272,0.03804347826086957,0.07336956521739131,-0.07768680122500733,-0.11684782608695651,-0.008676794217883362,0.08118206521739131,0.13960597826086957,0.13960597826086957,0.13960597826086957,0.13960597826086957,0.13960597826086957,0.13960597826086957,0.08118206521739131,-0.23097826086956522,0.0001896341827968271,0.03838315217391304,0.15387228260869565,0.15387228260869565,0.15387228260869565,0.15387228260869565,0.15387228260869565,0.15387228260869565,0.03838315217391304,-0.21331521739130435,-0.001182551164927485,0.045006793478260865,0.15166440217391305,0.15166440217391305,0.15166440217391305,0.15166440217391305,0.15166440217391305,0.15166440217391305,0.045006793478260865,0.0,-0.01775432805667497,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0,-0.0954411292816823,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2020-04-29,K200,2020,DEV_2020_2022,-0.8142216348424872,0.02717391304347826,0.3468570859222299,0.8478260869565217,0.3342391304347826,-0.03227834709772065,-0.23641304347826086,0.025607922548135126,0.1545516304347826,0.1545516304347826,0.1545516304347826,0.1545516304347826,0.036345108695652176,0.036345108695652176,0.1545516304347826,0.1545516304347826,0.17391304347826086,0.012363274690103013,0.10326086956521739,0.10326086956521739,0.10326086956521739,0.10326086956521739,0.19021739130434784,0.19021739130434784,0.10326086956521739,0.10326086956521739,-0.0828804347826087,0.02065214371383834,0.13536005434782608,0.13536005434782608,0.13536005434782608,0.13536005434782608,0.09391983695652173,0.09391983695652173,0.13536005434782608,0.13536005434782608,0.0,0.0179769002723153,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0,-0.01430144682540535,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
2020-06-01,K200,2020,DEV_2020_2022,0.6924151693840039,0.9510869565217391,-0.48313944444593765,0.09782608695652174,0.5706521739130435,0.02694816059251541,0.22554347826086957,0.027369341553902055,0.0968070652173913,0.20957880434782608,0.0968070652173913,0.0968070652173913,0.0968070652173913,0.0968070652173913,0.0968070652173913,0.20957880434782608,-0.20108695652173914,0.015872436083725645,0.1501358695652174,0.049592391304347824,0.1501358695652174,0.1501358695652174,0.1501358695652174,0.1501358695652174,0.1501358695652174,0.049592391304347824,0.03532608695652173,0.02224333274554315,0.12058423913043478,0.13824728260869565,0.12058423913043478,0.12058423913043478,0.12058423913043478,0.12058423913043478,0.12058423913043478,0.13824728260869565,0.0,0.02129135968113364,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0,0.04823952027364905,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
2020-06-29,K200,2020,DEV_2020_2022,-0.5972332597493049,0.10869565217391304,0.4847228361844826,0.8804347826086957,0.5,0.030351646387368605,-0.1956521739130435,0.017356512698688358,0.14945652173913043,0.05163043478260869,0.14945652173913043,0.05163043478260869,0.14945652173913043,0.14945652173913043,0.14945652173913043,0.14945652173913043,0.19021739130434784,0.02906828929381429,0.10122282608695651,0.19633152173913043,0.10122282608695651,0.19633152173913043,0.10122282608695651,0.10122282608695651,0.10122282608695651,0.10122282608695651,0.0,0.023294878296217,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.023294878296217,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0,0.053646524683585606,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
2020-07-27,K200,2020,DEV_2020_2022,0.8015433854306405,0.9728260869565217,-1.0522177639781112,0.0,0.48641304347826086,0.03173973028842171,0.23641304347826086,0.010425958966815498,0.09544836956521739,0.21365489130434784,0.09544836956521739,0.21365489130434784,0.09544836956521739,0.09544836956521739,0.09544836956521739,0.09544836956521739,-0.25,-0.005012659841954842,0.15625,0.03125,0.15625,0.03125,0.15625,0.15625,0.15625,0.15625,-0.006793478260869568,0.002706649562430331,0.1258491847826087,0.12245244565217392,0.1258491847826087,0.12245244565217392,0.1258491847826087,0.1258491847826087,0.1258491847826087,0.1258491847826087,0.0,0.002922272730150586,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0,0.0346620030185723,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
2020-08-25,K200,2020,DEV_2020_2022,-0.08639709707867486,0.41304347826086957,0.16385193790958044,0.7010869565217391,0.6358695652173914,-0.019493571310512173,-0.043478260869565216,0.0017899849974121478,0.10869565217391304,0.13043478260869565,0.10869565217391304,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.10054347826086957,-0.0010175130445909677,0.16270380434782608,0.1124320652173913,0.16270380434782608,0.1124320652173913,0.1124320652173913,0.1124320652173913,0.1124320652173913,0.1124320652173913,0.06793478260869568,-0.00038185311055252355,0.15047554347826086,0.11650815217391304,0.15047554347826086,0.11650815217391304,0.11650815217391304,0.11650815217391304,0.11650815217391304,0.11650815217391304,0.0,0.0009424384186942254,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0,-0.01855113289181795,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2020-09-22,K200,2020,DEV_2020_2022,-0.06596295857307848,0.41847826086956524,0.0380225581139095,0.5434782608695652,0.4673913043478261,0.07828545736008177,-0.04076086956521738,0.03286062449771848,0.13009510869565216,0.13009510869565216,0.13009510869565216,0.13009510869565216,0.10971467391304349,0.10971467391304349,0.13009510869565216,0.13009510869565216,0.021739130434782594,0.037753465582723585,0.12228260869565218,0.12228260869565218,0.12228260869565218,0.12228260869565218,0.13315217391304346,0.13315217391304346,0.12228260869565218,0.12228260869565218,-0.016304347826086946,0.03477521448750309,0.12703804347826086,0.12703804347826086,0.12703804347826086,0.12703804347826086,0.11888586956521739,0.11888586956521739,0.12703804347826086,0.12703804347826086,0.0,0.036051607814026165,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0,0.11433706517410794,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
