date,universe,predictor_type,definition,value,n_components
2016-01-18,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2016-01-25,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2016-02-01,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2016-02-11,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2016-02-18,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2016-02-25,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2016-03-04,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2016-03-11,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2016-03-18,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2016-03-25,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2016-04-01,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2016-04-08,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2016-04-18,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2016-04-25,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2016-05-02,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2016-05-11,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2016-05-18,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2016-05-25,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2016-06-01,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2016-06-09,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2016-06-16,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2016-06-23,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2016-06-30,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2016-07-07,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2016-07-14,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2016-07-21,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2016-07-28,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2016-08-04,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2016-08-11,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2016-08-19,K200,FACTOR_BREADTH,FACTOR_10D,1.0,8
2016-08-26,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2016-09-02,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2016-09-09,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2016-09-21,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2016-09-28,K200,FACTOR_BREADTH,FACTOR_10D,0.125,8
2016-10-06,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2016-10-13,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2016-10-20,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2016-10-27,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2016-11-03,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2016-11-10,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2016-11-17,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2016-11-24,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2016-12-01,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2016-12-08,K200,FACTOR_BREADTH,FACTOR_10D,1.0,8
2016-12-15,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2016-12-22,K200,FACTOR_BREADTH,FACTOR_10D,0.0,8
2016-12-29,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2017-01-06,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2017-01-13,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2017-01-20,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2017-01-31,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2017-02-07,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2017-02-14,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2017-02-21,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2017-02-28,K200,FACTOR_BREADTH,FACTOR_10D,0.0,8
2017-03-08,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2017-03-15,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2017-03-22,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2017-03-29,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2017-04-05,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2017-04-12,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2017-04-19,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2017-04-26,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2017-05-08,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2017-05-16,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2017-05-23,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2017-05-30,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2017-06-07,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2017-06-14,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2017-06-21,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2017-06-28,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2017-07-05,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2017-07-12,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2017-07-19,K200,FACTOR_BREADTH,FACTOR_10D,1.0,8
2017-07-26,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2017-08-02,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2017-08-09,K200,FACTOR_BREADTH,FACTOR_10D,1.0,8
2017-08-17,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2017-08-24,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2017-08-31,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2017-09-07,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2017-09-14,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2017-09-21,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2017-09-28,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2017-10-13,K200,FACTOR_BREADTH,FACTOR_10D,0.0,8
2017-10-20,K200,FACTOR_BREADTH,FACTOR_10D,0.0,8
2017-10-27,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2017-11-03,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2017-11-10,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2017-11-17,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2017-11-24,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2017-12-01,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2017-12-08,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2017-12-15,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2017-12-22,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2018-01-03,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2018-01-10,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2018-01-17,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2018-01-24,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2018-01-31,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2018-02-07,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2018-02-14,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2018-02-23,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2018-03-05,K200,FACTOR_BREADTH,FACTOR_10D,0.125,8
2018-03-12,K200,FACTOR_BREADTH,FACTOR_10D,0.125,8
2018-03-19,K200,FACTOR_BREADTH,FACTOR_10D,0.125,8
2018-03-26,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2018-04-02,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2018-04-09,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2018-04-16,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2018-04-23,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2018-04-30,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2018-05-09,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2018-05-16,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2018-05-24,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2018-05-31,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2018-06-08,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2018-06-18,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2018-06-25,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2018-07-02,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2018-07-09,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2018-07-16,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2018-07-23,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2018-07-30,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2018-08-06,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2018-08-13,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2018-08-21,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2018-08-28,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2018-09-04,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2018-09-11,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2018-09-18,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2018-09-28,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2018-10-08,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2018-10-16,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2018-10-23,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2018-10-30,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2018-11-06,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2018-11-13,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2018-11-20,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2018-11-27,K200,FACTOR_BREADTH,FACTOR_10D,0.0,8
2018-12-04,K200,FACTOR_BREADTH,FACTOR_10D,0.0,8
2018-12-11,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2018-12-18,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2018-12-26,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2019-01-04,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2019-01-11,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2019-01-18,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2019-01-25,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2019-02-01,K200,FACTOR_BREADTH,FACTOR_10D,0.125,8
2019-02-13,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2019-02-20,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2019-02-27,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2019-03-07,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2019-03-14,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2019-03-21,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2019-03-28,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2019-04-04,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2019-04-11,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2019-04-18,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2019-04-25,K200,FACTOR_BREADTH,FACTOR_10D,0.0,8
2019-05-03,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2019-05-13,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2019-05-20,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2019-05-27,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2019-06-03,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2019-06-11,K200,FACTOR_BREADTH,FACTOR_10D,0.125,8
2019-06-18,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2019-06-25,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2019-07-02,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2019-07-09,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2019-07-16,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2019-07-23,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2019-07-30,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2019-08-06,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2019-08-13,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2019-08-21,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2019-08-28,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2019-09-04,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2019-09-11,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2019-09-20,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2019-09-27,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2019-10-07,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2019-10-15,K200,FACTOR_BREADTH,FACTOR_10D,0.0,8
2019-10-22,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2019-10-29,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2019-11-05,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2019-11-12,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2019-11-19,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2019-11-26,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2019-12-03,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2019-12-10,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2019-12-17,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2019-12-24,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2020-01-03,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2020-01-10,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2020-01-17,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2020-01-28,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2020-02-04,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2020-02-11,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2020-02-18,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2020-02-25,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2020-03-03,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2020-03-10,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2020-03-17,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2020-03-24,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2020-03-31,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2020-04-07,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2020-04-14,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2020-04-22,K200,FACTOR_BREADTH,FACTOR_10D,0.125,8
2020-04-29,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2020-05-11,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2020-05-18,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2020-05-25,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2020-06-01,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2020-06-08,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2020-06-15,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2020-06-22,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2020-06-29,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2020-07-06,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2020-07-13,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2020-07-20,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2020-07-27,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2020-08-03,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2020-08-10,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2020-08-18,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2020-08-25,K200,FACTOR_BREADTH,FACTOR_10D,0.0,8
2020-09-01,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2020-09-08,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2020-09-15,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2020-09-22,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2020-09-29,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2020-10-12,K200,FACTOR_BREADTH,FACTOR_10D,1.0,8
2020-10-19,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2020-10-26,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2020-11-02,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2020-11-09,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2020-11-16,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2020-11-23,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2020-11-30,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2020-12-07,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2020-12-14,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2020-12-21,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2020-12-29,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2021-01-07,K200,FACTOR_BREADTH,FACTOR_10D,1.0,8
2021-01-14,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2021-01-21,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2021-01-28,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2021-02-04,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2021-02-15,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2021-02-22,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2021-03-02,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2021-03-09,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2021-03-16,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2021-03-23,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2021-03-30,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2021-04-06,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2021-04-13,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2021-04-20,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2021-04-27,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2021-05-04,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2021-05-12,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2021-05-20,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2021-05-27,K200,FACTOR_BREADTH,FACTOR_10D,0.0,8
2021-06-03,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2021-06-10,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2021-06-17,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2021-06-24,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2021-07-01,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2021-07-08,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2021-07-15,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2021-07-22,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2021-07-29,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2021-08-05,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2021-08-12,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2021-08-20,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2021-08-27,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2021-09-03,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2021-09-10,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2021-09-17,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2021-09-29,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2021-10-07,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2021-10-15,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2021-10-22,K200,FACTOR_BREADTH,FACTOR_10D,0.125,8
2021-10-29,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2021-11-05,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2021-11-12,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2021-11-19,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2021-11-26,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2021-12-03,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2021-12-10,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2021-12-17,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2021-12-24,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2022-01-03,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2022-01-10,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2022-01-17,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2022-01-24,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2022-02-03,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2022-02-10,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2022-02-17,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2022-02-24,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2022-03-04,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2022-03-14,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2022-03-21,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2022-03-28,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2022-04-04,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2022-04-11,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2022-04-18,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2022-04-25,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2022-05-02,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2022-05-10,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2022-05-17,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2022-05-24,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2022-05-31,K200,FACTOR_BREADTH,FACTOR_10D,0.125,8
2022-06-09,K200,FACTOR_BREADTH,FACTOR_10D,0.125,8
2022-06-16,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2022-06-23,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2022-06-30,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2022-07-07,K200,FACTOR_BREADTH,FACTOR_10D,0.125,8
2022-07-14,K200,FACTOR_BREADTH,FACTOR_10D,0.0,8
2022-07-21,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2022-07-28,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2022-08-04,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2022-08-11,K200,FACTOR_BREADTH,FACTOR_10D,0.125,8
2022-08-19,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2022-08-26,K200,FACTOR_BREADTH,FACTOR_10D,1.0,8
2022-09-02,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2022-09-13,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2022-09-20,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2022-09-27,K200,FACTOR_BREADTH,FACTOR_10D,1.0,8
2022-10-05,K200,FACTOR_BREADTH,FACTOR_10D,1.0,8
2022-10-13,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2022-10-20,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2022-10-27,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2022-11-03,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2022-11-10,K200,FACTOR_BREADTH,FACTOR_10D,0.0,8
2022-11-17,K200,FACTOR_BREADTH,FACTOR_10D,0.0,8
2022-11-24,K200,FACTOR_BREADTH,FACTOR_10D,0.125,8
2022-12-01,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2022-12-08,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2022-12-15,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2022-12-22,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2022-12-29,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2023-01-06,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2023-01-13,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2023-01-20,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2023-01-31,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2023-02-07,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2023-02-14,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2023-02-21,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2023-02-28,K200,FACTOR_BREADTH,FACTOR_10D,0.25,8
2023-03-08,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2023-03-15,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2023-03-22,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2023-03-29,K200,FACTOR_BREADTH,FACTOR_10D,0.0,8
2023-04-05,K200,FACTOR_BREADTH,FACTOR_10D,0.125,8
2023-04-12,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2023-04-19,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2023-04-26,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2023-05-04,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2023-05-12,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2023-05-19,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2023-05-26,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
2023-06-05,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2023-06-13,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2023-06-20,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2023-06-27,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2023-07-04,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2023-07-11,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2023-07-18,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2023-07-25,K200,FACTOR_BREADTH,FACTOR_10D,0.75,8
2023-08-01,K200,FACTOR_BREADTH,FACTOR_10D,0.625,8
2023-08-08,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2023-08-16,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2023-08-23,K200,FACTOR_BREADTH,FACTOR_10D,0.875,8
2023-08-30,K200,FACTOR_BREADTH,FACTOR_10D,0.5,8
2023-09-06,K200,FACTOR_BREADTH,FACTOR_10D,0.375,8
